"Month","Year","PRODUCTS","Quantity (000 Metric Tonnes)","updated_date"
"October","2021","LPG","2481.02","2024-01-03"
"September","2021","LPG","2355.78","2024-01-03"
"August","2021","LPG","2316.70","2024-01-03"
"July","2021","LPG","2356.78","2024-01-03"
"June","2021","LPG","2251.48","2024-01-03"
"May","2021","LPG","2156.27","2024-01-03"
"April","2021","LPG","2102.15","2024-01-03"
"March","2021","LPG","2256.00","2024-01-03"
"February","2021","LPG","2262.00","2024-01-03"
"January","2021","LPG","2490.00","2024-01-03"
"December","2020","LPG","2523.00","2024-01-03"
"November","2020","LPG","2352.00","2024-01-03"
"October","2020","LPG","2421.00","2024-01-03"
"September","2020","LPG","2261.00","2024-01-03"
"August","2020","LPG","2262.00","2024-01-03"
"July","2020","LPG","2258.00","2024-01-03"
"June","2020","LPG","2064.00","2024-01-03"
"May","2020","LPG","2296.00","2024-01-03"
"April","2020","LPG","2113.00","2024-01-03"
"August","2023","Lubricants & Greases","325.92","2024-01-03"
"July","2023","Lubricants & Greases","410.04","2024-01-03"
"June","2023","Lubricants & Greases","318.71","2024-01-03"
"May","2023","Lubricants & Greases","322.95","2024-01-03"
"April","2023","Lubricants & Greases","273.71","2024-01-03"
"March","2023","Lubricants & Greases","420.29","2024-01-03"
"February","2023","Lubricants & Greases","333.17","2024-01-03"
"January","2023","Lubricants & Greases","301.60","2024-01-03"
"December","2022","Lubricants & Greases","297.19","2024-01-03"
"November","2022","Lubricants & Greases","301.78","2024-01-03"
"October","2022","Lubricants & Greases","354.57","2024-01-03"
"September","2022","Lubricants & Greases","266.02","2024-01-03"
"August","2022","Lubricants & Greases","242.82","2024-01-03"
"July","2022","Lubricants & Greases","310.63","2024-01-03"
"June","2022","Lubricants & Greases","290.45","2024-01-03"
"May","2022","Lubricants & Greases","300.48","2024-01-03"
"April","2022","Lubricants & Greases","318.18","2024-01-03"
"March","2022","Lubricants & Greases","538.11","2024-01-03"
"February","2022","Lubricants & Greases","379.96","2024-01-03"
"January","2022","Lubricants & Greases","309.91","2024-01-03"
"December","2021","Lubricants & Greases","449.86","2024-01-03"
"November","2021","Lubricants & Greases","353.57","2024-01-03"
"October","2021","Lubricants & Greases","458.19","2024-01-03"
"September","2021","Lubricants & Greases","377.04","2024-01-03"
"August","2021","Lubricants & Greases","364.47","2024-01-03"
"July","2021","Lubricants & Greases","319.14","2024-01-03"
"June","2021","Lubricants & Greases","316.38","2024-01-03"
"May","2021","Lubricants & Greases","318.26","2024-01-03"
"April","2021","Lubricants & Greases","355.46","2024-01-03"
"March","2021","Lubricants & Greases","398.00","2024-01-03"
"February","2021","Lubricants & Greases","388.00","2024-01-03"
"January","2021","Lubricants & Greases","392.00","2024-01-03"
"December","2020","Lubricants & Greases","439.00","2024-01-03"
"November","2020","Lubricants & Greases","421.00","2024-01-03"
"October","2020","Lubricants & Greases","391.00","2024-01-03"
"September","2020","Lubricants & Greases","396.00","2024-01-03"
"August","2020","Lubricants & Greases","366.00","2024-01-03"
"July","2020","Lubricants & Greases","346.00","2024-01-03"
"June","2020","Lubricants & Greases","244.00","2024-01-03"
"May","2020","Lubricants & Greases","148.00","2024-01-03"
"April","2020","Lubricants & Greases","168.00","2024-01-03"
"August","2023","MS","3093.32","2024-01-03"
"July","2023","MS","2983.66","2024-01-03"
"June","2023","MS","3151.77","2024-01-03"
"May","2023","MS","3349.63","2024-01-03"
"April","2023","MS","2877.18","2024-01-03"
"March","2023","MS","3107.59","2024-01-03"
"February","2023","MS","2776.40","2024-01-03"
"January","2023","MS","2827.48","2024-01-03"
"December","2022","MS","2983.71","2024-01-03"
"November","2022","MS","2860.92","2024-01-03"
"October","2022","MS","2996.49","2024-01-03"
"September","2022","MS","2827.02","2024-01-03"
"August","2022","MS","3005.64","2024-01-03"
"July","2022","MS","2808.35","2024-01-03"
"June","2022","MS","2968.47","2024-01-03"
"May","2022","MS","3016.92","2024-01-03"
"April","2022","MS","2797.37","2024-01-03"
